ratings,price,processor,ram,operating_system,rom,display,brand,ram_type,rom_type
4.11,53990.0,intel core i5  (13th gen),8,64 bit windows 11,512,15.6 ,dell,ddr4,ssd
3.83,17036.0,intel celeron dual core  (9th gen),4,windows 11,256,15.6 ,axl,ddr4,ssd
3.91,24990.0,intel core i5  (10th gen),16,"wps office,  software",512,14 ,chuwi,ddr4,ssd
3.62,20990.0,amd athlon dual core ,4,windows 11,256,15.6 ,hp,ddr4,ssd
,47990.0,intel core i5  (11th gen),8,64 bit windows 10,256,15 ,lenovo,ddr4,ssd
4.21,55990.0,intel core i5  (11th gen),8,windows 11,1,15.6 ,msi,ddr4,hdd|256
3.51,13990.0,intel celeron dual core  (10th gen),4,software,128,11.6 ,chuwi,lpddr4,ssd
4.71,71990.0,apple m1 ,8,mac os,256,13.3 ,apple,ddr4,ssd
4.53,60990.0,amd ryzen 5 hexa core ,16,windows 11,1,15.6 ,asus,ddr4,ssd
3.51,13990.0,intel celeron dual core  (10th gen),4,software,128,11.6 ,chuwi,lpddr4,ssd
3.87,27990.0,intel core i5  (11th gen),8,windows 11,512,15.6 ,zebronics,lpddr4x,ssd
4.27,37471.0,intel core i5  (12th gen),8,windows 11,512,14 ,msi,ddr4,ssd
,53990.0,intel core i5  (12th gen),16,windows 11,512,15.6 ,asus,ddr4,ssd
3.51,13990.0,intel celeron dual core  (10th gen),4,software,128,11.6 ,chuwi,lpddr4,ssd
4.21,35990.0,intel core i3  (12th gen),8,windows 11,512,39.62 cm,lenovo,ddr4,ssd
4.21,35990.0,intel core i3  (12th gen),8,windows 11,512,39.62 cm,lenovo,ddr4,ssd
4.35,56990.0,intel core i5  (11th gen),8,64 bit windows 11,512,15.6 ,msi,ddr4,ssd
,29990.0,intel core i3 ,8,chrome,256,14 ,acer,lpddr5,ssd
4.72,141390.0,apple m2 ,8,mac os,512,15.3 ,apple,unified,ssd
4.56,19990.0,intel pentium quad core ,4,chrome,,14 ,lenovo,lpddr5,
3.88,20990.0,intel celeron dual core ,8,chrome,,15.6 ,asus,lpddr4x,
3.88,17990.0,intel celeron dual core ,4,chrome,,15.6 ,asus,lpddr4x,
,74990.0,intel core i7  (13th gen),16,windows 11,512,15.6 ,msi,ddr4,ssd
4.33,56990.0,intel core i5  (13th gen),16,windows 11,512,15.6 ,acer,lpddr5,ssd
3.81,17990.0,intel celeron dual core ,4,chrome,,14 ,asus,lpddr4x,
3.81,19990.0,intel celeron dual core ,4,chrome,,15.6 ,asus,lpddr4x,
4.31,65990.0,intel core i5  (12th gen),16,windows 11,512,14 ,asus,ddr4,ssd
3.76,114190.0,intel core i7  (13th gen),16,windows 11,1,14 ,lenovo,lpddr5,ssd
,41990.0,amd ryzen 5 hexa core ,8,64 bit windows 11,512,15.6 ,hp,ddr4,ssd
4.45,68990.0,amd ryzen 5 hexa core ,16,64 bit windows 11,512,15.6 ,acer,ddr5,ssd
3.75,18990.0,intel celeron dual core  (11th gen),8,64 bit windows 11,256,15.6 ,chuwi,ddr4,ssd
3.91,21990.0,intel celeron dual core ,4,64 bit chrome,,14 ,hp,lpddr4,
4.31,35000.0,intel core i3  (11th gen),8,64 bit windows 11,256,14 ,hp,ddr4,ssd
4.31,37999.0,amd ryzen 3 quad core ,8,64 bit windows 11,512,15.6 ,hp,lpddr5,ssd
3.61,17990.0,mediatek kompanio 520 ,4,chrome,,14 ,lenovo,lpddr4x,
,16490.0,intel celeron dual core ,4,64 bit windows 11,128,14.1 ,thomson,lpddr4,ssd
4.61,164490.0,apple m3 ,16,mac os,512,15 ,apple,unified,ssd
3.73,38990.0,intel core i5  (11th gen),8,64 bit windows 11,512,14 ,hp,ddr4,ssd
3.51,13990.0,intel celeron dual core  (10th gen),4,software,128,11.6 ,chuwi,lpddr4,ssd
4.21,35990.0,intel core i3  (12th gen),8,windows 11,512,39.62 cm,lenovo,ddr4,ssd
,51990.0,intel core i7 ,32,windows 11,512,14 ,infinix,lpddr4x,ssd
4.26,32990.0,intel core i3  (11th gen),8,64 bit windows 11,256,15.6 ,infinix,lpddr4x,ssd
4.32,74590.0,intel core i5  (12th gen),16,windows 11,512,15.6 ,lenovo,ddr5,ssd
4.42,33990.0,amd ryzen 5 quad core ,8,windows 11,512,15.6 ,lenovo,lpddr4,ssd
3.88,20990.0,intel celeron dual core ,8,chrome,,15.6 ,asus,lpddr4x,
3.88,17990.0,intel celeron dual core ,4,chrome,,15.6 ,asus,lpddr4x,
